,CUSEC,Municipality,Province,CCAA,Shape_area,Total_Population,Number_Males,Number_Females,Number_Minors,Number_Adults,Number_Elderlies,No_studies,Middle_studies,Complete_studies,Minors_NoInformation,Population_Density,Average_Income,Spanish_Nationality_People,Foreign_Nationality_People,Number_Properties,Number_Homes
5058,1_41_53_4_2,Lebrija,Sevilla,Andalucía,491220.06,1585.0,0.52,0.48,0.21,0.59,0.2,0.17,0.47,0.15,0.21,3226.7,18209.0,1.0,0.0,585.0,0.85
5059,1_41_53_4_7,Lebrija,Sevilla,Andalucía,257092.46,750.0,0.47,0.53,0.25,0.59,0.15,0.24,0.45,0.06,0.25,2917.2,17156.0,1.0,0.0,315.0,0.79
5060,1_41_53_4_8,Lebrija,Sevilla,Andalucía,450941.03,1365.0,0.56,0.44,0.2,0.72,0.08,0.13,0.65,0.02,0.2,3027.0,15935.0,1.0,0.0,465.0,0.88
5061,1_41_55_1_3,Lora del Río,Sevilla,Andalucía,728676.73,1135.0,0.51,0.49,0.27,0.66,0.07,0.14,0.54,0.05,0.27,1557.6,22315.0,0.87,0.13,485.0,0.75
5062,1_41_53_4_9,Lebrija,Sevilla,Andalucía,5943174.19,2810.0,0.47,0.53,0.24,0.7,0.06,0.12,0.52,0.12,0.24,472.8,20691.0,0.99,0.01,1135.0,0.87
5063,1_41_54_1_1,Lora de Estepa,Sevilla,Andalucía,18084698.91,870.0,0.51,0.49,0.16,0.66,0.18,0.2,0.54,0.1,0.16,48.1,19698.0,0.9,0.1,595.0,0.61
5064,1_41_55_1_1,Lora del Río,Sevilla,Andalucía,457510.25,1310.0,0.53,0.47,0.27,0.63,0.1,0.08,0.58,0.06,0.27,2863.3,18974.0,0.85,0.15,495.0,0.91
5065,1_41_55_1_2,Lora del Río,Sevilla,Andalucía,84663.87,670.0,0.47,0.53,0.25,0.54,0.21,0.16,0.55,0.04,0.25,7913.6,27497.0,1.0,0.0,445.0,0.54
5066,1_41_77_2_3,"Puebla de Cazalla, La",Sevilla,Andalucía,133907.95,2290.0,0.55,0.45,0.28,0.6,0.12,0.14,0.57,0.01,0.28,17101.3,20916.0,0.74,0.26,885.0,0.84
5067,1_41_55_1_5,Lora del Río,Sevilla,Andalucía,399756.91,695.0,0.5,0.5,0.22,0.64,0.14,0.16,0.53,0.11,0.22,1738.6,20760.0,0.94,0.06,340.0,0.71
5068,1_41_55_1_6,Lora del Río,Sevilla,Andalucía,93117.07,790.0,0.44,0.56,0.13,0.66,0.2,0.33,0.52,0.02,0.13,8483.9,17238.0,0.99,0.0,350.0,0.79
5069,1_41_55_2_1,Lora del Río,Sevilla,Andalucía,81861.56,790.0,0.46,0.54,0.13,0.61,0.25,0.23,0.54,0.11,0.13,9650.4,23167.0,1.0,0.0,460.0,0.64
5070,1_41_55_2_2,Lora del Río,Sevilla,Andalucía,123229.13,1640.0,0.51,0.49,0.17,0.7,0.12,0.17,0.51,0.14,0.17,13308.5,23156.0,0.96,0.04,705.0,0.75
5071,1_41_55_2_3,Lora del Río,Sevilla,Andalucía,118876.34,1785.0,0.49,0.51,0.21,0.65,0.14,0.19,0.54,0.06,0.21,15015.6,16795.0,1.0,0.0,740.0,0.84
5072,1_41_55_2_4,Lora del Río,Sevilla,Andalucía,61467.69,1380.0,0.47,0.52,0.13,0.68,0.19,0.13,0.62,0.12,0.13,22450.8,20610.0,0.99,0.0,695.0,0.78
5073,1_41_55_2_5,Lora del Río,Sevilla,Andalucía,173783.83,1995.0,0.51,0.49,0.15,0.68,0.17,0.13,0.59,0.13,0.15,11479.8,24451.0,1.0,0.0,865.0,0.81
5074,1_41_55_2_6,Lora del Río,Sevilla,Andalucía,198079.73,520.0,0.54,0.46,0.15,0.63,0.21,0.23,0.56,0.06,0.15,2625.2,18711.0,1.0,0.0,210.0,0.9
5075,1_41_55_3_1,Lora del Río,Sevilla,Andalucía,163248.53,525.0,0.66,0.33,0.05,0.83,0.12,0.26,0.65,0.04,0.05,3216.0,19010.0,1.0,0.0,305.0,0.69
5076,1_41_55_3_2,Lora del Río,Sevilla,Andalucía,403799.78,300.0,0.45,0.55,0.07,0.6,0.33,0.52,0.43,,,742.9,15240.0,1.0,0.0,140.0,0.89
5077,1_41_55_3_3,Lora del Río,Sevilla,Andalucía,397798.5,955.0,0.53,0.47,0.19,0.64,0.17,0.33,0.48,0.0,0.19,2400.7,16798.0,1.0,0.0,345.0,0.94
5078,1_41_55_3_4,Lora del Río,Sevilla,Andalucía,290087934.39,2485.0,0.46,0.54,0.2,0.71,0.08,0.22,0.54,0.04,0.2,8.6,17027.0,1.0,0.0,1525.0,0.52
5079,1_41_56_1_2,"Luisiana, La",Sevilla,Andalucía,886720.56,1670.0,0.5,0.5,0.16,0.63,0.21,0.26,0.53,0.04,0.16,1883.3,20198.0,1.0,0.0,835.0,0.77
5080,1_41_56_1_3,"Luisiana, La",Sevilla,Andalucía,377769.27,1920.0,0.52,0.48,0.22,0.68,0.09,0.14,0.61,0.03,0.22,5082.5,20681.0,1.0,0.0,735.0,0.9
5081,1_41_77_2_4,"Puebla de Cazalla, La",Sevilla,Andalucía,122143.2,1060.0,0.59,0.41,0.19,0.6,0.21,0.26,0.53,0.02,0.19,8678.3,21408.0,1.0,0.0,465.0,0.8
5082,1_41_56_1_4,"Luisiana, La",Sevilla,Andalucía,41714128.83,1055.0,0.49,0.51,0.15,0.61,0.25,0.32,0.5,0.04,0.15,25.3,18691.0,1.0,0.0,525.0,0.85
5083,1_41_57_1_1,"Madroño, El",Sevilla,Andalucía,103034159.02,320.0,0.5,0.5,0.06,0.61,0.34,0.22,0.69,0.05,0.06,3.1,17327.0,1.0,0.0,310.0,0.55
5084,1_41_58_1_1,Mairena del Alcor,Sevilla,Andalucía,103311.89,375.0,0.37,0.64,0.09,0.48,0.44,,,,,3629.8,24873.0,1.0,0.0,280.0,0.64
