,CUSEC,Municipality,Province,CCAA,Shape_area,Total_Population,Number_Males,Number_Females,Number_Minors,Number_Adults,Number_Elderlies,No_studies,Middle_studies,Complete_studies,Minors_NoInformation,Population_Density,Average_Income,Spanish_Nationality_People,Foreign_Nationality_People,Number_Properties,Number_Homes
0,1_4_1_1_1,Abla,Almería,Andalucía,45208729.52,1460.0,0.52,0.48,0.12,0.64,0.25,0.25,0.54,0.09,0.12,32.3,19811.0,0.9,0.1,1145.0,0.52
1,1_4_2_1_1,Abrucena,Almería,Andalucía,83611158.25,1350.0,0.52,0.49,0.11,0.64,0.25,0.23,0.63,0.04,0.11,16.1,17556.0,0.94,0.06,710.0,0.77
2,1_4_13_7_28,Almería,Almería,Andalucía,35586.84,1000.0,0.44,0.56,0.07,0.59,0.34,0.03,0.45,0.44,0.07,28100.3,43068.0,1.0,0.0,700.0,0.74
3,1_4_3_1_1,Adra,Almería,Andalucía,41192.76,765.0,0.42,0.58,0.09,0.77,0.14,0.13,0.72,0.06,0.09,18571.2,25809.0,0.93,0.08,405.0,0.73
4,1_4_3_1_2,Adra,Almería,Andalucía,209769.89,1750.0,0.46,0.54,0.19,0.65,0.16,0.09,0.62,0.09,0.19,8342.5,24390.0,0.97,0.03,780.0,0.83
5,1_4_3_1_3,Adra,Almería,Andalucía,777570.3,1815.0,0.43,0.57,0.26,0.62,0.12,0.09,0.55,0.1,0.26,2334.2,20896.0,0.91,0.09,1100.0,0.55
6,1_4_3_1_4,Adra,Almería,Andalucía,235847.07,2215.0,0.54,0.46,0.15,0.79,0.06,0.09,0.7,0.06,0.15,9391.7,19452.0,0.96,0.04,1125.0,0.64
7,1_4_13_7_29,Almería,Almería,Andalucía,15775.03,1240.0,0.49,0.52,0.15,0.67,0.19,0.08,0.6,0.17,0.15,78605.2,35253.0,0.75,0.25,565.0,0.82
8,1_4_3_1_5,Adra,Almería,Andalucía,271969.38,1905.0,0.49,0.51,0.19,0.67,0.13,0.17,0.57,0.07,0.19,7004.5,20561.0,0.94,0.06,1245.0,0.56
9,1_4_3_1_6,Adra,Almería,Andalucía,85827.89,1230.0,0.46,0.54,0.14,0.74,0.11,0.03,0.66,0.17,0.14,14331.0,24886.0,0.95,0.05,730.0,0.64
10,1_4_3_1_7,Adra,Almería,Andalucía,129242.17,875.0,0.4,0.59,0.1,0.73,0.17,0.15,0.67,0.07,0.1,6770.2,24204.0,0.94,0.06,460.0,0.75
11,1_4_6_1_1,Albox,Almería,Andalucía,308086.69,1010.0,0.46,0.54,0.12,0.69,0.19,0.12,0.56,0.19,0.12,3278.3,21161.0,0.89,0.11,660.0,0.6
12,1_11_24_3_1,Olvera,Cádiz,Andalucía,79655626.66,905.0,0.54,0.46,0.21,0.59,0.2,0.23,0.43,0.14,0.21,11.4,21670.0,1.0,0.0,525.0,0.71
13,1_4_3_2_1,Adra,Almería,Andalucía,84248.79,1565.0,0.55,0.45,0.13,0.8,0.06,0.12,0.65,0.09,0.13,18575.9,19811.0,0.86,0.14,560.0,0.88
14,1_4_3_2_2,Adra,Almería,Andalucía,114208.1,1550.0,0.61,0.39,0.26,0.63,0.11,0.2,0.5,0.03,0.26,13571.7,18774.0,0.95,0.05,775.0,0.66
15,1_4_3_2_3,Adra,Almería,Andalucía,136337.6,745.0,0.54,0.46,0.24,0.5,0.26,0.28,0.46,0.01,0.24,5464.4,16319.0,0.91,0.09,360.0,0.78
16,1_4_3_3_1,Adra,Almería,Andalucía,83431.87,1735.0,0.53,0.47,0.26,0.61,0.13,0.16,0.54,0.05,0.26,20795.4,18376.0,0.78,0.22,595.0,0.82
17,1_11_24_4_1,Olvera,Cádiz,Andalucía,11433540.49,1260.0,0.52,0.48,0.11,0.63,0.27,0.25,0.52,0.12,0.11,110.2,23860.0,1.0,0.0,575.0,0.77
18,1_4_3_3_2,Adra,Almería,Andalucía,101570.15,1535.0,0.48,0.52,0.26,0.64,0.09,0.21,0.52,0.01,0.26,15112.7,17265.0,0.99,0.01,505.0,0.85
19,1_4_3_3_3,Adra,Almería,Andalucía,428006.05,1990.0,0.52,0.48,0.1,0.77,0.14,0.19,0.61,0.1,0.1,4649.5,19909.0,0.81,0.19,1040.0,0.7
20,1_4_3_4_1,Adra,Almería,Andalucía,72129725.95,610.0,0.43,0.57,0.12,0.57,0.31,0.38,0.43,0.06,0.12,8.5,18312.0,0.98,0.02,565.0,0.4
21,1_4_3_5_1,Adra,Almería,Andalucía,2910241.69,1455.0,0.45,0.55,0.18,0.65,0.18,0.23,0.57,0.03,0.18,500.0,19336.0,0.98,0.02,665.0,0.77
22,1_4_6_1_2,Albox,Almería,Andalucía,685295.49,2350.0,0.57,0.44,0.2,0.73,0.08,0.05,0.65,0.1,0.2,3429.2,23624.0,0.67,0.33,1165.0,0.69
23,1_4_3_5_2,Adra,Almería,Andalucía,12265801.38,2635.0,0.61,0.39,0.17,0.72,0.11,0.23,0.58,0.02,0.17,214.8,21205.0,0.61,0.39,925.0,0.81
24,1_4_4_1_1,Albánchez,Almería,Andalucía,35110321.34,745.0,0.51,0.49,0.1,0.53,0.37,0.23,0.6,0.07,0.1,21.2,16858.0,0.74,0.27,765.0,0.48
25,1_4_5_1_1,Alboloduy,Almería,Andalucía,69680602.23,685.0,0.49,0.5,0.09,0.61,0.3,0.3,0.56,0.05,0.09,9.8,19266.0,0.99,0.01,415.0,0.78
26,1_11_33_4_3,San Roque,Cádiz,Andalucía,5263967.4,605.0,0.5,0.5,0.38,0.63,0.0,,,,0.38,114.9,16846.0,0.75,0.26,285.0,0.72
27,1_4_6_2_1,Albox,Almería,Andalucía,687454.67,3010.0,0.49,0.51,0.22,0.64,0.14,0.11,0.57,0.1,0.22,4378.5,22002.0,0.9,0.1,1610.0,0.66
28,1_4_6_2_2,Albox,Almería,Andalucía,349994.75,1310.0,0.56,0.44,0.31,0.61,0.08,0.15,0.44,0.1,0.31,3742.9,19208.0,0.93,0.07,540.0,0.71
29,1_4_9_1_1,Alcudia de Monteagud,Almería,Andalucía,15682599.36,160.0,0.5,0.47,0.06,0.69,0.25,0.16,0.75,0.03,0.06,10.2,23855.0,0.94,0.06,240.0,0.31
30,1_4_13_2_1,Almería,Almería,Andalucía,65670.9,1235.0,0.47,0.53,0.09,0.68,0.23,0.09,0.5,0.32,0.09,18805.9,25139.0,0.98,0.02,765.0,0.78
31,1_4_6_3_1,Albox,Almería,Andalucía,25027682.37,755.0,0.49,0.51,0.07,0.59,0.34,0.25,0.58,0.1,0.07,30.2,18264.0,0.73,0.28,475.0,0.72
32,1_4_6_4_1,Albox,Almería,Andalucía,141247387.27,2425.0,0.48,0.52,0.08,0.61,0.31,0.19,0.64,0.09,0.08,17.2,17212.0,0.61,0.39,2055.0,0.49
33,1_4_7_1_1,Alcolea,Almería,Andalucía,67462199.01,910.0,0.52,0.48,0.12,0.64,0.24,0.23,0.61,0.05,0.12,13.5,15604.0,0.99,0.01,730.0,0.51
34,1_4_8_1_1,Alcóntar,Almería,Andalucía,93833531.47,625.0,0.54,0.46,0.1,0.59,0.3,0.2,0.63,0.06,0.1,6.7,21805.0,0.82,0.18,375.0,0.61
35,1_4_13_2_2,Almería,Almería,Andalucía,47233.83,1145.0,0.48,0.52,0.18,0.62,0.19,0.06,0.41,0.35,0.18,24241.1,36706.0,1.0,0.0,525.0,0.79
36,1_4_10_1_1,Alhabia,Almería,Andalucía,16381994.05,685.0,0.5,0.5,0.12,0.67,0.2,0.18,0.66,0.04,0.12,41.8,15726.0,1.0,0.0,415.0,0.66
37,1_4_12_1_1,Alicún,Almería,Andalucía,5868188.07,270.0,0.52,0.48,0.15,0.65,0.2,0.13,0.57,0.13,0.15,46.0,17513.0,1.0,0.0,165.0,0.64
38,1_4_13_1_1,Almería,Almería,Andalucía,203563.41,1215.0,0.49,0.51,0.13,0.66,0.21,0.09,0.49,0.29,0.13,5968.7,21855.0,1.0,0.0,690.0,0.63
39,1_4_13_7_5,Almería,Almería,Andalucía,38769.63,740.0,0.43,0.57,0.05,0.61,0.34,0.05,0.65,0.26,0.05,19087.1,37580.0,0.95,0.05,470.0,0.66
40,1_4_11_1_1,Alhama de Almería,Almería,Andalucía,26069054.22,1975.0,0.54,0.47,0.19,0.7,0.11,0.07,0.65,0.09,0.19,75.8,19527.0,0.84,0.16,1230.0,0.59
41,1_4_11_1_2,Alhama de Almería,Almería,Andalucía,154334.39,1815.0,0.49,0.51,0.14,0.64,0.22,0.19,0.58,0.09,0.14,11760.2,17997.0,0.89,0.11,775.0,0.84
42,1_4_13_1_3,Almería,Almería,Andalucía,48802.82,1175.0,0.42,0.58,0.16,0.58,0.26,0.06,0.64,0.14,0.16,24076.5,22414.0,0.88,0.12,620.0,0.74
43,1_4_13_1_4,Almería,Almería,Andalucía,31245.25,685.0,0.43,0.57,0.2,0.56,0.23,0.21,0.51,0.07,0.2,21923.3,,0.89,0.11,340.0,0.87
44,1_4_13_2_3,Almería,Almería,Andalucía,51557.92,530.0,0.38,0.62,0.11,0.57,0.31,0.14,0.42,0.32,0.11,10279.7,37061.0,0.98,0.02,390.0,0.67
45,1_4_13_2_4,Almería,Almería,Andalucía,66185.06,1335.0,0.49,0.51,0.19,0.56,0.25,0.03,0.29,0.49,0.19,20170.7,41996.0,0.99,0.01,645.0,0.74
46,1_4_13_2_5,Almería,Almería,Andalucía,60971.97,1230.0,0.48,0.52,0.12,0.51,0.37,0.03,0.47,0.37,0.12,20173.2,43841.0,0.93,0.07,645.0,0.76
47,1_4_13_2_6,Almería,Almería,Andalucía,89292.12,1135.0,0.48,0.52,0.17,0.6,0.22,0.01,0.42,0.39,0.17,12711.1,43441.0,0.96,0.04,605.0,0.79
48,1_4_13_3_11,Almería,Almería,Andalucía,84898.96,1845.0,0.53,0.47,0.22,0.69,0.09,0.08,0.53,0.17,0.22,21731.7,20107.0,0.69,0.31,705.0,0.82
49,1_4_13_4_1,Almería,Almería,Andalucía,54128.26,915.0,0.56,0.45,0.23,0.59,0.19,0.0,0.28,0.49,0.23,16904.3,40456.0,0.99,0.01,420.0,0.81
50,1_4_13_4_2,Almería,Almería,Andalucía,53711.8,1425.0,0.48,0.52,0.16,0.72,0.13,0.05,0.4,0.39,0.16,26530.5,34663.0,0.9,0.1,670.0,0.81
51,1_11_34_1_1,Setenil de las Bodegas,Cádiz,Andalucía,55933132.33,1275.0,0.47,0.53,0.14,0.63,0.23,0.19,0.62,0.06,0.14,22.8,18475.0,0.99,0.01,745.0,0.72
52,1_4_13_3_1,Almería,Almería,Andalucía,221541.44,1650.0,0.54,0.46,0.05,0.75,0.2,0.04,0.71,0.2,0.05,7447.8,29658.0,1.0,0.0,670.0,0.96
53,1_4_13_3_2,Almería,Almería,Andalucía,39598.17,1295.0,0.58,0.43,0.15,0.64,0.21,0.2,0.59,0.07,0.15,32703.5,15463.0,0.94,0.07,565.0,0.92
54,1_4_13_3_3,Almería,Almería,Andalucía,11419139.98,1870.0,0.52,0.48,0.09,0.87,0.04,0.22,0.66,0.03,0.09,163.8,11675.0,0.88,0.12,575.0,0.82
55,1_4_13_3_6,Almería,Almería,Andalucía,29511.21,1065.0,0.46,0.54,0.26,0.6,0.14,0.24,0.5,0.0,0.26,36088.0,15397.0,1.0,0.0,455.0,0.77
56,1_4_13_3_7,Almería,Almería,Andalucía,33349.26,850.0,0.49,0.51,0.22,0.67,0.11,0.12,0.56,0.09,0.22,25487.8,14687.0,0.93,0.07,380.0,0.67
57,1_4_13_3_8,Almería,Almería,Andalucía,212373.74,680.0,0.48,0.52,0.21,0.71,0.07,0.12,0.6,0.05,0.21,3201.9,18492.0,0.89,0.11,300.0,0.85
58,1_4_13_3_9,Almería,Almería,Andalucía,5715282.73,1630.0,0.46,0.54,0.23,0.7,0.07,0.11,0.52,0.14,0.23,285.2,19167.0,0.92,0.08,710.0,0.77
59,1_4_13_3_10,Almería,Almería,Andalucía,8412653.35,1250.0,0.46,0.54,0.36,0.56,0.08,0.16,0.48,0.0,0.36,148.6,11675.0,0.97,0.03,480.0,0.76
60,1_11_20_3_13,Jerez de la Frontera,Cádiz,Andalucía,26665.84,620.0,0.4,0.6,0.1,0.47,0.44,0.06,0.67,0.17,0.1,23250.7,25357.0,1.0,0.0,310.0,0.89
61,1_4_13_4_3,Almería,Almería,Andalucía,40947.38,1495.0,0.43,0.57,0.05,0.61,0.33,0.07,0.63,0.24,0.05,36510.3,27994.0,0.91,0.09,825.0,0.8
62,1_4_13_4_4,Almería,Almería,Andalucía,34380.87,950.0,0.45,0.55,0.12,0.65,0.22,0.15,0.53,0.19,0.12,27631.6,25067.0,0.93,0.07,560.0,0.68
63,1_4_13_4_5,Almería,Almería,Andalucía,28248.22,765.0,0.36,0.63,0.1,0.6,0.3,0.08,0.58,0.24,0.1,27081.4,23795.0,0.93,0.06,450.0,0.86
64,1_4_13_4_6,Almería,Almería,Andalucía,33906.96,900.0,0.45,0.55,0.19,0.48,0.33,0.08,0.42,0.32,0.19,26543.2,28995.0,0.98,0.02,545.0,0.71
65,1_4_13_4_7,Almería,Almería,Andalucía,27822.22,890.0,0.37,0.63,0.29,0.48,0.23,0.11,0.41,0.19,0.29,31988.8,32241.0,1.0,0.0,495.0,0.69
66,1_4_13_5_2,Almería,Almería,Andalucía,90699.24,2595.0,0.47,0.53,0.22,0.65,0.13,0.09,0.58,0.1,0.22,28611.0,21680.0,0.72,0.28,1285.0,0.72
67,1_4_13_5_3,Almería,Almería,Andalucía,7443904.83,1235.0,0.45,0.55,0.13,0.78,0.09,0.04,0.72,0.1,0.13,165.9,21349.0,0.99,0.01,825.0,0.56
68,1_4_13_5_4,Almería,Almería,Andalucía,43431.69,1170.0,0.47,0.53,0.18,0.68,0.14,0.18,0.62,0.02,0.18,26938.9,17924.0,0.87,0.13,640.0,0.69
69,1_4_13_5_5,Almería,Almería,Andalucía,146810.38,1900.0,0.44,0.55,0.23,0.61,0.17,0.14,0.57,0.06,0.23,12941.9,16436.0,0.78,0.22,965.0,0.69
70,1_11_20_3_14,Jerez de la Frontera,Cádiz,Andalucía,35163.78,1535.0,0.44,0.56,0.16,0.55,0.29,0.17,0.61,0.06,0.16,43652.9,18292.0,1.0,0.0,910.0,0.66
71,1_4_13_5_6,Almería,Almería,Andalucía,51238.86,1640.0,0.57,0.43,0.15,0.65,0.21,0.23,0.42,0.21,0.15,32007.0,24568.0,0.75,0.25,785.0,0.8
72,1_4_13_5_7,Almería,Almería,Andalucía,39937.34,1425.0,0.51,0.49,0.18,0.61,0.21,0.17,0.39,0.26,0.18,35680.9,25493.0,0.83,0.17,830.0,0.67
73,1_4_13_5_8,Almería,Almería,Andalucía,34840.63,1015.0,0.5,0.5,0.16,0.62,0.22,0.06,0.54,0.23,0.16,29132.7,26423.0,0.89,0.1,650.0,0.72
74,1_4_13_5_9,Almería,Almería,Andalucía,29152.0,835.0,0.54,0.46,0.16,0.57,0.27,0.15,0.47,0.22,0.16,28643.0,25368.0,0.98,0.02,545.0,0.6
75,1_4_13_5_10,Almería,Almería,Andalucía,36139.68,1155.0,0.5,0.5,0.06,0.71,0.23,0.19,0.5,0.25,0.06,31959.3,27472.0,0.81,0.19,630.0,0.66
76,1_4_13_5_11,Almería,Almería,Andalucía,2246112.48,1810.0,0.45,0.55,0.28,0.65,0.06,0.15,0.56,0.01,0.28,805.8,15011.0,0.94,0.06,860.0,0.68
77,1_4_13_6_1,Almería,Almería,Andalucía,58724.66,665.0,0.44,0.56,0.06,0.7,0.24,0.08,0.68,0.17,0.06,11324.0,15940.0,0.96,0.04,520.0,0.63
78,1_4_13_6_2,Almería,Almería,Andalucía,45621.98,1235.0,0.53,0.46,0.17,0.64,0.19,0.13,0.62,0.08,0.17,27070.3,21060.0,0.98,0.02,560.0,0.79
79,1_4_13_6_3,Almería,Almería,Andalucía,38427.32,560.0,0.46,0.54,0.04,0.74,0.21,0.09,0.71,0.17,0.04,14573.0,22901.0,1.0,0.0,265.0,0.77
80,1_4_13_6_4,Almería,Almería,Andalucía,71111.26,2095.0,0.52,0.48,0.17,0.75,0.08,0.05,0.48,0.31,0.17,29460.9,29733.0,0.99,0.01,805.0,0.89
81,1_11_20_5_9,Jerez de la Frontera,Cádiz,Andalucía,28648.55,800.0,0.53,0.47,0.16,0.63,0.21,0.24,0.61,0.0,0.16,27924.6,14681.0,1.0,0.0,340.0,0.87
82,1_4_13_6_5,Almería,Almería,Andalucía,109113.64,1565.0,0.49,0.51,0.12,0.8,0.09,0.08,0.69,0.11,0.12,14342.8,26020.0,1.0,0.0,740.0,0.77
83,1_4_13_6_6,Almería,Almería,Andalucía,267009.43,2440.0,0.46,0.54,0.26,0.65,0.09,0.09,0.58,0.07,0.26,9138.3,18685.0,0.91,0.1,1145.0,0.79
84,1_4_13_6_7,Almería,Almería,Andalucía,176332.38,2255.0,0.44,0.56,0.2,0.67,0.13,0.12,0.63,0.06,0.2,12788.3,22193.0,0.94,0.06,925.0,0.86
85,1_4_13_6_8,Almería,Almería,Andalucía,174861.24,2610.0,0.5,0.5,0.19,0.71,0.1,0.09,0.59,0.14,0.19,14926.1,24962.0,0.99,0.01,1015.0,0.96
86,1_4_13_6_9,Almería,Almería,Andalucía,35974.48,745.0,0.46,0.54,0.13,0.66,0.21,0.08,0.64,0.13,0.13,20709.1,21173.0,0.99,0.01,535.0,0.64
87,1_4_13_6_10,Almería,Almería,Andalucía,41662.02,925.0,0.46,0.54,0.17,0.57,0.26,0.15,0.56,0.12,0.17,22202.5,21473.0,0.92,0.08,475.0,0.88
88,1_4_13_6_11,Almería,Almería,Andalucía,60712.52,1335.0,0.46,0.54,0.14,0.76,0.1,0.05,0.66,0.15,0.14,21988.9,23550.0,0.89,0.11,640.0,0.85
89,1_11_31_5_2,San Fernando,Cádiz,Andalucía,34797.77,1180.0,0.52,0.48,0.13,0.67,0.21,0.02,0.49,0.36,0.13,33910.2,34333.0,1.0,0.0,505.0,0.85
90,1_4_13_6_12,Almería,Almería,Andalucía,24457.29,1130.0,0.46,0.54,0.18,0.56,0.27,0.1,0.58,0.14,0.18,46203.0,22235.0,0.94,0.05,670.0,0.71
91,1_4_13_6_13,Almería,Almería,Andalucía,50608.45,1970.0,0.44,0.56,0.1,0.7,0.2,0.1,0.64,0.15,0.1,38926.3,21036.0,0.89,0.11,990.0,0.84
92,1_4_13_6_14,Almería,Almería,Andalucía,32425.28,1470.0,0.5,0.49,0.25,0.53,0.21,0.16,0.51,0.07,0.25,45335.0,16800.0,0.66,0.33,655.0,0.84
93,1_4_13_6_15,Almería,Almería,Andalucía,45940.59,865.0,0.53,0.47,0.2,0.6,0.2,0.09,0.6,0.11,0.2,18828.7,20377.0,0.86,0.14,375.0,0.84
94,1_4_13_6_16,Almería,Almería,Andalucía,144817.88,1635.0,0.44,0.55,0.14,0.7,0.16,0.15,0.62,0.09,0.14,11290.0,21939.0,0.91,0.09,760.0,0.81
95,1_4_13_6_17,Almería,Almería,Andalucía,68022.23,2095.0,0.46,0.54,0.15,0.73,0.11,0.07,0.61,0.17,0.15,30798.8,19607.0,0.69,0.31,875.0,0.94
96,1_4_13_6_18,Almería,Almería,Andalucía,156637.18,2015.0,0.52,0.48,0.23,0.63,0.14,0.1,0.55,0.12,0.23,12864.1,21517.0,0.92,0.08,750.0,0.95
97,1_4_13_6_29,Almería,Almería,Andalucía,60203.15,1645.0,0.48,0.52,0.09,0.78,0.13,0.13,0.59,0.19,0.09,27324.2,23743.0,0.9,0.11,995.0,0.7
98,1_4_13_7_1,Almería,Almería,Andalucía,42570.43,1795.0,0.43,0.57,0.17,0.65,0.18,0.06,0.48,0.29,0.17,42165.4,33169.0,0.98,0.02,825.0,0.82
99,1_11_34_1_2,Setenil de las Bodegas,Cádiz,Andalucía,26213102.7,1620.0,0.55,0.45,0.2,0.7,0.1,0.09,0.68,0.04,0.2,61.8,18249.0,0.98,0.02,1020.0,0.55
100,1_4_13_6_19,Almería,Almería,Andalucía,791164.02,1155.0,0.48,0.52,0.26,0.58,0.16,0.18,0.51,0.05,0.26,1459.9,19723.0,0.99,0.01,555.0,0.85
101,1_4_13_6_20,Almería,Almería,Andalucía,877907.69,1125.0,0.42,0.58,0.29,0.62,0.09,0.16,0.52,0.02,0.29,1281.5,18115.0,0.92,0.08,410.0,0.91
102,1_4_13_6_21,Almería,Almería,Andalucía,1347649.9,1920.0,0.51,0.49,0.33,0.6,0.07,0.1,0.57,0.0,0.33,1424.7,12781.0,1.0,0.0,540.0,0.85
103,1_4_13_7_2,Almería,Almería,Andalucía,21012.34,895.0,0.41,0.59,0.12,0.53,0.35,0.16,0.46,0.26,0.12,42594.0,26958.0,0.98,0.02,530.0,0.74
104,1_4_13_6_22,Almería,Almería,Andalucía,2363395.14,1850.0,0.53,0.47,0.3,0.68,0.02,0.02,0.41,0.27,0.3,782.8,32739.0,0.99,0.01,1925.0,0.36
105,1_4_13_6_23,Almería,Almería,Andalucía,87579.32,1965.0,0.59,0.41,0.31,0.69,0.0,0.24,0.45,0.0,0.31,22436.8,13954.0,0.3,0.7,465.0,0.94
106,1_4_13_6_24,Almería,Almería,Andalucía,113852.54,1155.0,0.67,0.33,0.25,0.72,0.03,0.12,0.62,0.01,0.25,10144.7,14092.0,0.3,0.7,715.0,0.36
107,1_4_13_6_25,Almería,Almería,Andalucía,36237.82,1365.0,0.49,0.51,0.08,0.76,0.16,0.13,0.71,0.08,0.08,37667.8,21127.0,0.98,0.02,580.0,0.85
108,1_4_13_6_26,Almería,Almería,Andalucía,136772.12,1565.0,0.42,0.57,0.13,0.78,0.08,0.08,0.68,0.1,0.13,11442.4,22919.0,0.93,0.07,725.0,0.82
109,1_4_13_6_27,Almería,Almería,Andalucía,29915.07,560.0,0.43,0.57,0.12,0.72,0.17,0.16,0.44,0.29,0.12,18719.7,20160.0,0.8,0.2,415.0,0.55
110,1_4_13_6_28,Almería,Almería,Andalucía,32006.54,935.0,0.52,0.48,0.07,0.61,0.32,0.21,0.6,0.11,0.07,29212.8,20822.0,0.91,0.09,490.0,0.78
111,1_4_13_7_3,Almería,Almería,Andalucía,27357.79,1080.0,0.41,0.59,0.12,0.61,0.27,0.13,0.53,0.22,0.12,39476.9,28818.0,1.0,0.0,550.0,0.79
112,1_4_13_6_30,Almería,Almería,Andalucía,160047.24,1625.0,0.47,0.53,0.23,0.67,0.1,0.04,0.58,0.16,0.23,10153.3,25256.0,0.98,0.02,720.0,0.81
113,1_4_13_6_31,Almería,Almería,Andalucía,66156.15,2430.0,0.57,0.42,0.31,0.66,0.03,0.19,0.46,0.04,0.31,36731.3,13389.0,0.18,0.81,945.0,0.52
114,1_4_13_6_32,Almería,Almería,Andalucía,107358.61,1160.0,0.45,0.55,0.16,0.65,0.19,0.15,0.64,0.05,0.16,10804.9,24482.0,0.98,0.02,410.0,0.95
115,1_4_13_6_36,Almería,Almería,Andalucía,318766.56,3765.0,0.53,0.47,0.23,0.71,0.06,0.05,0.49,0.22,0.23,11811.2,28283.0,0.99,0.01,1675.0,0.84
116,1_4_13_6_37,Almería,Almería,Andalucía,165714.66,870.0,0.56,0.44,0.09,0.67,0.24,0.17,0.61,0.13,0.09,5250.0,25647.0,1.0,0.0,415.0,0.78
117,1_4_13_6_38,Almería,Almería,Andalucía,304282.92,1930.0,0.46,0.54,0.25,0.66,0.09,0.03,0.46,0.26,0.25,6342.8,31908.0,0.99,0.01,905.0,0.72
118,1_4_13_6_39,Almería,Almería,Andalucía,234033.45,1710.0,0.56,0.44,0.22,0.7,0.08,0.04,0.42,0.32,0.22,7306.6,41005.0,0.99,0.01,860.0,0.67
119,1_11_31_6_23,San Fernando,Cádiz,Andalucía,40052.26,825.0,0.47,0.54,0.08,0.82,0.1,0.05,0.67,0.21,0.08,20598.1,30953.0,0.98,0.02,300.0,1.0
120,1_4_13_6_33,Almería,Almería,Andalucía,2856155.52,1290.0,0.53,0.47,0.12,0.8,0.07,0.08,0.58,0.22,0.12,451.7,28674.0,1.0,0.0,525.0,0.9
121,1_4_13_6_34,Almería,Almería,Andalucía,148176.78,1805.0,0.56,0.44,0.24,0.71,0.06,0.02,0.43,0.31,0.24,12181.4,43119.0,0.99,0.01,600.0,0.86
122,1_4_13_6_35,Almería,Almería,Andalucía,251720.99,1315.0,0.39,0.61,0.24,0.61,0.15,0.2,0.51,0.05,0.24,5224.0,18555.0,0.92,0.08,860.0,0.49
123,1_4_13_7_4,Almería,Almería,Andalucía,24425.88,685.0,0.42,0.58,0.09,0.5,0.41,0.09,0.54,0.29,0.09,28044.0,28095.0,0.8,0.2,515.0,0.59
124,1_4_13_7_6,Almería,Almería,Andalucía,31883.01,555.0,0.5,0.5,0.09,0.48,0.43,0.1,0.47,0.33,0.09,17407.4,40288.0,1.0,0.0,440.0,0.6
125,1_4_13_7_7,Almería,Almería,Andalucía,61862.8,1590.0,0.43,0.57,0.11,0.65,0.24,0.06,0.4,0.44,0.11,25702.0,35441.0,0.93,0.07,810.0,0.75
126,1_4_13_7_8,Almería,Almería,Andalucía,254153.12,2975.0,0.46,0.54,0.24,0.62,0.13,0.05,0.41,0.3,0.24,11705.5,25547.0,0.92,0.09,1505.0,0.71
127,1_4_13_7_10,Almería,Almería,Andalucía,84539.71,1580.0,0.45,0.55,0.16,0.62,0.22,0.09,0.6,0.16,0.16,18689.4,25918.0,0.91,0.09,855.0,0.74
128,1_4_13_7_11,Almería,Almería,Andalucía,60740.8,1440.0,0.53,0.47,0.18,0.7,0.12,0.12,0.62,0.08,0.18,23707.3,27852.0,0.76,0.25,605.0,0.82
129,1_4_13_7_12,Almería,Almería,Andalucía,158510.74,2305.0,0.5,0.5,0.21,0.71,0.07,0.03,0.34,0.42,0.21,14541.6,43149.0,0.93,0.07,1040.0,0.79
130,1_4_13_7_13,Almería,Almería,Andalucía,128799.88,1655.0,0.47,0.53,0.16,0.65,0.19,0.06,0.56,0.22,0.16,12849.4,29722.0,0.92,0.08,750.0,0.83
131,1_4_13_7_16,Almería,Almería,Andalucía,127591.58,1720.0,0.51,0.49,0.14,0.66,0.2,0.15,0.65,0.07,0.14,13480.5,22952.0,0.89,0.11,1085.0,0.6
132,1_23_11_1_2,Baños de la Encina,Jaén,Andalucía,391524342.09,760.0,0.52,0.48,0.17,0.57,0.26,0.24,0.52,0.07,0.17,1.9,20359.0,0.99,0.01,850.0,0.35
133,1_4_13_7_14,Almería,Almería,Andalucía,131036.98,2175.0,0.5,0.5,0.07,0.76,0.17,0.02,0.54,0.38,0.07,16598.4,30914.0,0.88,0.12,1445.0,0.71
134,1_4_13_7_15,Almería,Almería,Andalucía,64138.82,2540.0,0.47,0.53,0.2,0.66,0.15,0.13,0.56,0.12,0.2,39601.6,20718.0,0.7,0.3,1410.0,0.66
135,1_4_13_7_30,Almería,Almería,Andalucía,50588.23,2090.0,0.5,0.5,0.21,0.74,0.05,0.07,0.56,0.16,0.21,41314.0,24331.0,0.92,0.08,945.0,0.85
136,1_4_13_7_17,Almería,Almería,Andalucía,87584.69,1475.0,0.5,0.5,0.14,0.63,0.24,0.12,0.59,0.15,0.14,16840.8,25040.0,0.99,0.01,710.0,0.82
137,1_4_13_7_18,Almería,Almería,Andalucía,646991.5,2460.0,0.47,0.53,0.21,0.7,0.09,0.06,0.53,0.2,0.21,3802.2,26038.0,0.87,0.13,1305.0,0.71
138,1_4_13_7_19,Almería,Almería,Andalucía,93673.22,1350.0,0.47,0.53,0.07,0.71,0.22,0.23,0.59,0.11,0.07,14411.8,23467.0,0.83,0.17,1095.0,0.51
139,1_4_13_7_31,Almería,Almería,Andalucía,72651.18,830.0,0.45,0.55,0.08,0.78,0.13,0.01,0.54,0.36,0.08,11424.5,32989.0,1.0,0.0,385.0,0.91
