,Postal_Code,Municipality,Province,CCAA,Shape_area,Total_Population,Number_Males,Number_Females,Number_Minors,Number_Adults,Number_Elderlies,No_studies,Middle_studies,Complete_studies,Minors_NoInformation,Population_Density,Average_Income,Spanish_Nationality_People,Foreign_Nationality_People,Number_Properties,Number_Homes
368,23295,Segura de la Sierra,Jaén,Andalucia,4953021.55910021,8400.0,0.54,0.46,0.11,0.62,0.27,0.31,0.5,0.08,0.11,5.3,18483.0,0.98,0.02,6415.0,0.54
369,29500,Álora,Málaga,Andalucia,96428261.71911228,16505.0,0.51,0.49,0.14,0.64,0.22,0.19,0.57,0.1,0.14,5439.42,18502.83,0.88,0.12,7800.0,0.78
370,29510,Álora,Málaga,Andalucia,24418404.91611927,6585.0,0.54,0.46,0.14,0.6,0.25,0.17,0.55,0.13,0.14,1558.5,19125.0,0.88,0.12,3130.0,0.82
371,29260,Antequera,Málaga,Andalucia,46886902.2149471,4150.0,0.51,0.49,0.1,0.54,0.35,0.29,0.51,0.09,0.1,22.7,17692.4,0.87,0.13,2325.0,0.86
372,29712,Canillas de Aceituno,Málaga,Andalucia,9943127.16085581,9910.0,0.51,0.49,0.11,0.63,0.27,0.22,0.6,0.07,0.11,50.7,15753.5,0.76,0.24,6525.0,0.66
373,29230,Antequera,Málaga,Andalucia,133502482.41084464,18665.0,0.51,0.48,0.11,0.61,0.27,0.27,0.52,0.08,0.12,1075.85,19257.82,0.9,0.1,9250.0,0.82
374,23214,La Carolina,Jaén,Andalucia,21076820.19625377,8410.0,0.52,0.48,0.17,0.61,0.22,0.19,0.6,0.04,0.17,11.75,20893.83,0.99,0.01,5030.0,0.63
375,29540,Antequera,Málaga,Andalucia,220868963.3842168,13685.0,0.51,0.49,0.14,0.62,0.24,0.2,0.54,0.1,0.15,40.26,18976.6,0.88,0.12,7560.0,0.76
376,29630,Benalmádena,Málaga,Andalucia,6887428.931866412,59895.0,0.49,0.51,0.16,0.69,0.16,0.06,0.62,0.17,0.16,6790.23,22605.32,0.72,0.28,46615.0,0.64
377,29570,Cártama,Málaga,Andalucia,46642368.55012464,26710.0,0.5,0.5,0.2,0.66,0.14,0.14,0.59,0.07,0.2,1522.71,20680.06,0.85,0.15,13975.0,0.71
378,29692,Casares,Málaga,Andalucia,29889202.522786956,28490.0,0.52,0.48,0.18,0.69,0.13,0.15,0.58,0.09,0.18,1166.75,20134.42,0.74,0.26,23565.0,0.6
379,29678,Benahavís,Málaga,Andalucia,41810607.63163257,21540.0,0.49,0.51,0.18,0.63,0.18,0.05,0.57,0.2,0.18,611.83,23355.17,0.64,0.36,23385.0,0.4
380,29630,Benalmádena,Málaga,Andalucia,1087528.5712730302,59895.0,0.49,0.51,0.16,0.69,0.16,0.06,0.62,0.17,0.16,6790.23,22605.32,0.72,0.28,46615.0,0.64
381,29688,Estepona,Málaga,Andalucia,10483046.104509907,21410.0,0.49,0.52,0.19,0.63,0.18,0.03,0.57,0.22,0.19,757.08,23452.0,0.58,0.42,26660.0,0.35
382,29490,Cortes de la Frontera,Málaga,Andalucia,15601193.144177813,13560.0,0.52,0.48,0.13,0.64,0.23,0.25,0.54,0.07,0.13,22.36,16519.62,0.92,0.08,9895.0,0.55
383,29391,Cortes de la Frontera,Málaga,Andalucia,10513324.54045533,1995.0,0.52,0.48,0.14,0.62,0.24,0.22,0.57,0.07,0.14,20.07,15967.33,0.91,0.09,1510.0,0.54
384,29533,Humilladero,Málaga,Andalucia,14807092.488948075,9200.0,0.51,0.49,0.16,0.64,0.21,0.18,0.58,0.08,0.16,34.9,17925.8,0.88,0.12,4915.0,0.78
385,29693,Estepona,Málaga,Andalucia,25313408.802132703,8260.0,0.54,0.46,0.2,0.64,0.16,0.05,0.61,0.14,0.2,420.1,23492.0,0.64,0.36,7660.0,0.46
386,29520,Fuente de Piedra,Málaga,Andalucia,31628485.19571635,7220.0,0.5,0.5,0.16,0.66,0.18,0.19,0.57,0.08,0.16,38.02,18998.75,0.92,0.08,3930.0,0.72
387,29691,Manilva,Málaga,Andalucia,8833207.307151243,10485.0,0.5,0.5,0.15,0.7,0.15,0.12,0.59,0.14,0.15,475.72,19730.0,0.65,0.35,9835.0,0.59
388,29738,Rincón de la Victoria,Málaga,Andalucia,13104159.740197755,29475.0,0.5,0.5,0.2,0.67,0.13,0.12,0.54,0.14,0.2,628.04,23329.3,0.93,0.07,17545.0,0.66
389,29720,Rincón de la Victoria,Málaga,Andalucia,5088699.263642273,20835.0,0.51,0.49,0.17,0.72,0.11,0.07,0.5,0.26,0.17,3693.78,29872.21,0.91,0.09,12215.0,0.67
390,29394,Ronda,Málaga,Andalucia,69332851.48183905,10795.0,0.48,0.52,0.15,0.66,0.2,0.2,0.56,0.09,0.15,169.56,19731.14,0.95,0.05,5950.0,0.69
391,29753,Sayalonga,Málaga,Andalucia,2781807.9833665644,25680.0,0.51,0.49,0.12,0.64,0.24,0.2,0.57,0.1,0.12,154.18,16010.21,0.74,0.26,17710.0,0.63
392,29461,Faraján,Málaga,Andalucia,20408425.28889114,1520.0,0.51,0.49,0.09,0.63,0.28,0.28,0.55,0.08,0.09,12.05,16703.25,0.94,0.06,1290.0,0.54
393,29679,Benahavís,Málaga,Andalucia,103641301.40192321,11055.0,0.51,0.49,0.14,0.62,0.24,0.16,0.58,0.12,0.14,67.74,20001.71,0.79,0.21,13260.0,0.48
394,29400,Ronda,Málaga,Andalucia,327910675.58585465,51965.0,0.49,0.51,0.15,0.65,0.2,0.17,0.58,0.11,0.15,7764.74,22957.49,0.96,0.04,29065.0,0.68
395,29492,Jubrique,Málaga,Andalucia,39327899.98634844,17600.0,0.52,0.48,0.12,0.62,0.25,0.23,0.55,0.09,0.12,24.54,17304.81,0.83,0.17,19855.0,0.48
396,29789,Frigiliana,Málaga,Andalucia,133428.74076420668,3150.0,0.5,0.5,0.15,0.68,0.17,0.14,0.57,0.14,0.15,77.8,18825.0,0.7,0.29,2000.0,0.64
397,29751,Algarrobo,Málaga,Andalucia,517899.1220178218,20465.0,0.5,0.5,0.15,0.66,0.19,0.14,0.56,0.15,0.15,1648.67,20488.73,0.89,0.11,16660.0,0.56
398,29460,Alpandeire,Málaga,Andalucia,31249913.7254938,4630.0,0.51,0.5,0.11,0.64,0.26,0.24,0.59,0.07,0.11,18.59,17769.5,0.93,0.08,3470.0,0.53
399,23638,Villatorres,Jaén,Andalucia,25168847.021618985,6980.0,0.49,0.51,0.17,0.71,0.12,0.11,0.55,0.16,0.17,41.88,24021.2,0.96,0.03,4230.0,0.62
400,29392,Jimera de Líbar,Málaga,Andalucia,27175621.78899621,3925.0,0.52,0.49,0.12,0.64,0.25,0.23,0.6,0.05,0.12,20.62,16319.5,0.92,0.08,3185.0,0.48
401,29329,Sierra de Yeguas,Málaga,Andalucia,36227638.58419047,9000.0,0.5,0.5,0.16,0.65,0.18,0.19,0.57,0.07,0.16,32.92,20440.8,0.95,0.05,4430.0,0.78
402,29196,Málaga,Málaga,Andalucia,3423424.2865820983,4095.0,0.48,0.52,0.2,0.69,0.11,0.2,0.55,0.06,0.2,276.55,20443.5,0.98,0.02,1590.0,0.88
403,29631,Benalmádena,Málaga,Andalucia,2923267.537258021,45890.0,0.5,0.5,0.18,0.7,0.12,0.07,0.61,0.14,0.18,11905.36,23321.32,0.77,0.23,27165.0,0.75
404,29751,Vélez-Málaga,Málaga,Andalucia,3152448.983258619,20465.0,0.5,0.5,0.15,0.66,0.19,0.14,0.56,0.15,0.15,1648.67,20488.73,0.89,0.11,16660.0,0.56
405,23310,Villacarrillo,Jaén,Andalucia,25551259.56249517,6180.0,0.52,0.48,0.11,0.64,0.24,0.25,0.59,0.06,0.11,7.94,17566.14,0.92,0.08,4780.0,0.54
406,23478,Santiago-Pontones,Jaén,Andalucia,206733717.60716307,8965.0,0.53,0.47,0.16,0.62,0.22,0.28,0.51,0.05,0.16,6.16,17412.75,0.99,0.01,6455.0,0.56
407,23008,Jaén,Jaén,Andalucia,401866.30258690944,22520.0,0.46,0.54,0.15,0.66,0.19,0.05,0.51,0.28,0.15,25613.96,34888.47,0.98,0.02,10525.0,0.82
408,23613,Torredonjimeno,Jaén,Andalucia,12752593.344778866,3840.0,0.55,0.45,0.13,0.64,0.24,0.23,0.6,0.04,0.13,13.0,17979.25,0.92,0.08,2330.0,0.63
409,23001,Jaén,Jaén,Andalucia,259970.43837149555,16075.0,0.47,0.53,0.14,0.64,0.22,0.1,0.51,0.25,0.14,29523.08,30323.31,0.98,0.02,8600.0,0.76
410,23312,Villacarrillo,Jaén,Andalucia,35372173.72686692,2475.0,0.49,0.5,0.17,0.58,0.25,0.26,0.53,0.04,0.18,5.78,16509.75,1.0,0.01,2495.0,0.4
411,23002,Jaén,Jaén,Andalucia,2691979.1794559257,24765.0,0.49,0.51,0.17,0.66,0.16,0.12,0.57,0.13,0.17,21669.28,24714.7,0.99,0.01,12155.0,0.77
412,23291,Santiago-Pontones,Jaén,Andalucia,136440136.75144655,3325.0,0.54,0.46,0.11,0.64,0.26,0.33,0.51,0.06,0.11,4.27,18383.83,1.0,0.0,2585.0,0.52
413,23290,Santiago-Pontones,Jaén,Andalucia,15722523.69495407,7855.0,0.53,0.47,0.14,0.63,0.24,0.29,0.51,0.07,0.14,389.12,18891.55,0.98,0.02,5465.0,0.54
414,23297,Santiago-Pontones,Jaén,Andalucia,30494986.90113265,1010.0,0.52,0.48,0.1,0.64,0.27,0.38,0.5,0.04,0.1,6.0,18508.5,1.0,0.0,870.0,0.48
415,23296,Santiago-Pontones,Jaén,Andalucia,53016671.40376005,845.0,0.55,0.45,0.1,0.71,0.2,0.22,0.62,0.07,0.1,2.6,18073.0,1.0,0.0,875.0,0.43
416,23298,Santiago-Pontones,Jaén,Andalucia,32994396.20239309,1395.0,0.55,0.45,0.11,0.67,0.23,0.26,0.57,0.06,0.11,5.87,17713.0,0.98,0.02,1260.0,0.52
417,23294,Santiago-Pontones,Jaén,Andalucia,16367338.661187073,3765.0,0.53,0.47,0.1,0.69,0.22,0.26,0.58,0.06,0.1,4.07,17979.14,1.0,0.0,3365.0,0.46
418,23294,Santiago-Pontones,Jaén,Andalucia,14003402.199716687,3765.0,0.53,0.47,0.1,0.69,0.22,0.26,0.58,0.06,0.1,4.07,17979.14,1.0,0.0,3365.0,0.46
419,23713,Vilches,Jaén,Andalucia,82851674.86017989,17755.0,0.51,0.49,0.15,0.69,0.16,0.18,0.6,0.07,0.15,111.32,20849.07,0.98,0.02,9835.0,0.68
420,23499,Vilches,Jaén,Andalucia,10881617.103510218,6335.0,0.52,0.48,0.12,0.74,0.14,0.17,0.6,0.1,0.12,24.3,22379.25,0.97,0.03,3275.0,0.68
421,23539,Bedmar y Garcíez,Jaén,Andalucia,46453439.69543459,6275.0,0.49,0.52,0.15,0.6,0.25,0.25,0.52,0.08,0.15,9.11,20055.71,0.97,0.03,4050.0,0.61
422,23509,Úbeda,Jaén,Andalucia,81480460.97660872,1860.0,0.48,0.52,0.23,0.7,0.07,0.15,0.6,0.02,0.23,5.0,17336.5,1.0,0.01,1570.0,0.45
423,23413,Úbeda,Jaén,Andalucia,99893548.54768547,7670.0,0.49,0.51,0.16,0.65,0.19,0.17,0.6,0.06,0.16,8.24,19031.14,0.95,0.05,5265.0,0.57
424,23400,Úbeda,Jaén,Andalucia,70463648.9366402,36530.0,0.49,0.51,0.17,0.65,0.17,0.13,0.57,0.13,0.17,11789.2,23968.1,0.97,0.03,18420.0,0.73
425,23314,Úbeda,Jaén,Andalucia,13450430.688414533,2280.0,0.46,0.54,0.2,0.63,0.17,0.17,0.6,0.03,0.2,6.0,17960.33,1.0,0.01,2000.0,0.47
426,23191,Cárcheles,Jaén,Andalucia,18784139.82082937,4235.0,0.5,0.5,0.14,0.63,0.22,0.23,0.56,0.07,0.14,19.86,18432.4,0.97,0.03,2555.0,0.67
427,23196,Jaén,Jaén,Andalucia,101319026.33774191,8510.0,0.51,0.49,0.2,0.66,0.13,0.13,0.54,0.14,0.2,24.73,25415.29,0.99,0.01,5115.0,0.58
428,23006,Jaén,Jaén,Andalucia,103203330.33286096,43070.0,0.48,0.52,0.17,0.68,0.15,0.1,0.53,0.19,0.17,22733.07,28991.62,0.97,0.03,19700.0,0.79
429,23009,Jaén,Jaén,Andalucia,178581990.03925797,40150.0,0.49,0.51,0.18,0.69,0.12,0.07,0.53,0.22,0.18,18163.09,30497.48,0.98,0.02,19750.0,0.76
430,14006,Córdoba,Córdoba,Andalucia,1170748.924733134,38640.0,0.47,0.53,0.15,0.65,0.2,0.08,0.51,0.25,0.15,25805.72,31565.73,0.96,0.04,16865.0,0.88
431,23560,Huelma,Jaén,Andalucia,102706731.55307186,9255.0,0.48,0.52,0.17,0.65,0.18,0.22,0.57,0.04,0.17,2855.1,17243.67,0.96,0.03,5745.0,0.6
432,18538,Huesa,Jaén,Andalucia,46665677.04898922,17225.0,0.52,0.49,0.14,0.6,0.27,0.32,0.51,0.05,0.14,9.6,17517.95,0.98,0.03,10735.0,0.63
433,23450,Ibros,Jaén,Andalucia,24606307.99506469,8170.0,0.49,0.5,0.15,0.64,0.21,0.19,0.58,0.08,0.15,886.0,20762.5,0.97,0.03,4580.0,0.64
434,23470,Chilluévar,Jaén,Andalucia,7203051.315226086,19235.0,0.51,0.5,0.15,0.61,0.24,0.28,0.5,0.07,0.15,2808.76,17916.63,0.98,0.02,12150.0,0.64
435,23476,La Iruela,Jaén,Andalucia,22612705.58368908,5025.0,0.5,0.5,0.14,0.66,0.2,0.27,0.54,0.05,0.14,26.76,17179.4,0.99,0.01,3020.0,0.66
436,23310,Iznatoraf,Jaén,Andalucia,9328352.47595034,6180.0,0.52,0.48,0.11,0.64,0.24,0.25,0.59,0.06,0.11,7.94,17566.14,0.92,0.08,4780.0,0.54
437,14008,Córdoba,Córdoba,Andalucia,238618.68559349718,8235.0,0.44,0.55,0.09,0.6,0.31,0.02,0.39,0.49,0.09,15507.0,44353.62,0.98,0.02,4780.0,0.75
438,23713,Linares,Jaén,Andalucia,71556516.7018778,17755.0,0.51,0.49,0.15,0.69,0.16,0.18,0.6,0.07,0.15,111.32,20849.07,0.98,0.02,9835.0,0.68
439,23490,Linares,Jaén,Andalucia,19498497.37449356,14055.0,0.51,0.48,0.13,0.71,0.16,0.18,0.59,0.11,0.13,157.82,22017.0,0.98,0.02,7360.0,0.68
440,23519,Lupión,Jaén,Andalucia,10625738.567809392,10105.0,0.51,0.49,0.17,0.65,0.18,0.19,0.59,0.06,0.17,33.25,18392.75,0.99,0.01,5380.0,0.68
441,23526,Mancha Real,Jaén,Andalucia,29214125.48684387,6410.0,0.48,0.52,0.15,0.68,0.17,0.15,0.57,0.13,0.15,36.12,22230.83,0.95,0.05,4515.0,0.56
442,23669,Martos,Jaén,Andalucia,15419210.835452788,8365.0,0.52,0.48,0.13,0.59,0.28,0.3,0.5,0.06,0.15,10.73,17715.3,0.98,0.02,6010.0,0.59
443,21120,Aljaraque,Huelva,Andalucia,12709393.48058979,11400.0,0.51,0.49,0.2,0.71,0.09,0.06,0.5,0.24,0.2,1151.4,35287.71,0.98,0.02,5510.0,0.79
444,23267,Montizón,Jaén,Andalucia,71528987.63416602,1935.0,0.56,0.44,0.16,0.63,0.22,0.2,0.57,0.07,0.16,5.1,17853.0,1.0,0.0,1040.0,0.74
445,23690,Noalejo,Jaén,Andalucia,18231861.483199693,13505.0,0.53,0.47,0.13,0.63,0.23,0.3,0.5,0.07,0.13,24.34,18072.54,0.96,0.04,8160.0,0.65
446,23460,Peal de Becerro,Jaén,Andalucia,25243358.698676083,6725.0,0.5,0.51,0.14,0.59,0.27,0.29,0.49,0.09,0.14,2663.77,18341.83,0.97,0.03,3925.0,0.66
447,21122,Aljaraque,Huelva,Andalucia,3818722.437049236,14105.0,0.51,0.49,0.2,0.7,0.1,0.06,0.48,0.25,0.2,1962.27,36346.0,0.98,0.02,6505.0,0.8
448,23614,Martos,Jaén,Andalucia,72507183.11557232,5775.0,0.51,0.49,0.17,0.56,0.27,0.26,0.5,0.05,0.19,12.37,19524.0,0.95,0.05,3745.0,0.62
449,23266,Montizón,Jaén,Andalucia,24847565.214009304,2380.0,0.52,0.48,0.16,0.63,0.22,0.19,0.59,0.07,0.16,4.83,16540.33,1.0,0.0,1315.0,0.71
450,21593,El Almendro,Huelva,Andalucia,171089983.4338804,3435.0,0.52,0.48,0.13,0.62,0.24,0.2,0.6,0.06,0.13,4.8,18306.5,0.97,0.03,2165.0,0.65
451,23486,Pozo Alcón,Jaén,Andalucia,50299911.83438972,9625.0,0.52,0.48,0.14,0.62,0.24,0.29,0.52,0.06,0.14,11.92,17329.56,0.96,0.04,5280.0,0.72
452,23359,Puente de Génave,Jaén,Andalucia,14787743.024351396,5735.0,0.53,0.46,0.15,0.68,0.17,0.19,0.6,0.06,0.15,28.32,16284.0,0.97,0.03,3475.0,0.66
453,23487,Quesada,Jaén,Andalucia,52256059.72600552,9315.0,0.51,0.49,0.15,0.6,0.25,0.3,0.5,0.06,0.15,399.68,16752.4,0.98,0.02,6020.0,0.64
454,23488,Quesada,Jaén,Andalucia,37113839.83681338,5900.0,0.48,0.52,0.14,0.55,0.32,0.37,0.44,0.06,0.14,8.24,16464.14,1.0,0.0,3975.0,0.65
455,23488,Quesada,Jaén,Andalucia,40210547.02391457,5900.0,0.48,0.52,0.14,0.55,0.32,0.37,0.44,0.06,0.14,8.24,16464.14,1.0,0.0,3975.0,0.65
456,23489,Quesada,Jaén,Andalucia,60985501.55303472,5805.0,0.51,0.49,0.14,0.59,0.28,0.33,0.46,0.08,0.14,11.15,16756.17,0.97,0.03,3360.0,0.74
457,23412,Rus,Jaén,Andalucia,20227660.18334846,4245.0,0.48,0.52,0.15,0.66,0.18,0.17,0.59,0.08,0.15,15.63,20410.0,0.95,0.05,3045.0,0.53
458,23749,Villanueva de la Reina,Jaén,Andalucia,11832077.66489758,7675.0,0.52,0.48,0.15,0.62,0.23,0.2,0.6,0.04,0.15,15.17,19041.86,0.98,0.02,4160.0,0.66
459,23478,Santo Tomé,Jaén,Andalucia,22165496.07872069,8965.0,0.53,0.47,0.16,0.62,0.22,0.28,0.51,0.05,0.16,6.16,17412.75,0.99,0.01,6455.0,0.56
460,23379,Segura de la Sierra,Jaén,Andalucia,32015180.67946699,8825.0,0.53,0.46,0.1,0.65,0.25,0.26,0.55,0.09,0.1,16.73,17599.4,0.97,0.03,6370.0,0.58
461,14858,Castro del Río,Córdoba,Andalucia,11767973.960516125,4840.0,0.47,0.54,0.16,0.68,0.16,0.22,0.57,0.05,0.16,31.6,19481.0,0.99,0.01,2425.0,0.71
462,23293,Segura de la Sierra,Jaén,Andalucia,49808525.92357926,4790.0,0.53,0.47,0.12,0.62,0.26,0.28,0.52,0.08,0.12,15.9,17691.5,0.98,0.02,3340.0,0.58
463,23519,Torreblascopedro,Jaén,Andalucia,29394143.62052928,10105.0,0.51,0.49,0.17,0.65,0.18,0.19,0.59,0.06,0.17,33.25,18392.75,0.99,0.01,5380.0,0.68
464,23649,Torredelcampo,Jaén,Andalucia,74167271.41855577,4470.0,0.51,0.49,0.12,0.66,0.23,0.21,0.58,0.1,0.12,30.14,20801.6,0.99,0.01,2575.0,0.68
465,14113,Fuente Palmera,Córdoba,Andalucia,2105774.0896416157,2185.0,0.49,0.51,0.09,0.74,0.16,0.33,0.54,0.03,0.09,78.1,19172.0,0.98,0.02,2165.0,0.5
466,23315,Villacarrillo,Jaén,Andalucia,37081811.32409895,6375.0,0.5,0.5,0.16,0.64,0.2,0.23,0.57,0.05,0.16,10.77,17068.5,0.96,0.04,4755.0,0.52
467,23391,Benatae y Torres de Albánchez,Jaén,Andalucia,6993346.620099378,4980.0,0.52,0.48,0.11,0.61,0.28,0.26,0.57,0.05,0.11,9.34,16528.0,0.95,0.05,3790.0,0.58
468,23685,Alcalá la Real,Jaén,Andalucia,27680072.72863895,9175.0,0.52,0.49,0.11,0.6,0.3,0.33,0.51,0.04,0.12,24.14,17162.33,0.94,0.06,5860.0,0.64
469,14120,Fuente Palmera,Córdoba,Andalucia,8597317.78384482,9620.0,0.5,0.5,0.15,0.7,0.15,0.25,0.54,0.05,0.15,1958.28,19731.67,0.96,0.04,5585.0,0.71
470,23268,Chiclana de Segura,Jaén,Andalucia,80047325.33108549,2405.0,0.52,0.48,0.12,0.64,0.25,0.2,0.59,0.08,0.12,5.13,15657.67,1.0,0.0,1395.0,0.68
471,23264,Chiclana de Segura,Jaén,Andalucia,31812907.42277757,2405.0,0.52,0.48,0.12,0.64,0.25,0.2,0.59,0.08,0.12,5.13,15657.67,1.0,0.0,1395.0,0.68
472,23693,Castillo de Locubín,Jaén,Andalucia,15462308.44148498,4410.0,0.51,0.49,0.14,0.59,0.27,0.34,0.5,0.03,0.14,695.4,17174.6,0.93,0.07,2675.0,0.68
473,18102,Vegas del Genil,Granada,Andalucia,4077450.185902965,10660.0,0.5,0.5,0.21,0.65,0.13,0.05,0.52,0.2,0.21,842.68,27326.4,0.92,0.08,5465.0,0.73
474,23469,Cazorla,Jaén,Andalucia,48266690.58922166,8410.0,0.49,0.51,0.17,0.59,0.24,0.26,0.53,0.04,0.17,6.23,17805.8,1.0,0.01,6800.0,0.52
475,23479,Cazorla,Jaén,Andalucia,24771469.45816675,6465.0,0.54,0.46,0.13,0.66,0.21,0.3,0.51,0.05,0.13,20.67,17413.29,0.99,0.01,3765.0,0.69
476,23485,Cazorla,Jaén,Andalucia,22391821.140616726,19525.0,0.51,0.49,0.12,0.59,0.29,0.32,0.51,0.05,0.12,1333.86,16751.72,0.96,0.04,12420.0,0.69
477,18198,Huétor Vega,Granada,Andalucia,4234552.036779677,21925.0,0.5,0.51,0.2,0.7,0.1,0.04,0.5,0.26,0.2,2584.92,32012.0,0.96,0.04,10395.0,0.78
478,23539,Baeza,Jaén,Andalucia,36650230.82072054,6275.0,0.49,0.52,0.15,0.6,0.25,0.25,0.52,0.08,0.15,9.11,20055.71,0.97,0.03,4050.0,0.61
479,23569,Huelma,Jaén,Andalucia,147388743.5877723,7710.0,0.49,0.51,0.16,0.64,0.2,0.26,0.55,0.03,0.16,11.43,16571.0,0.97,0.03,5000.0,0.62
480,23270,Sorihuela del Guadalimar,Jaén,Andalucia,27484909.43066205,7590.0,0.51,0.49,0.14,0.64,0.22,0.22,0.57,0.07,0.14,9.31,17403.22,0.96,0.04,5440.0,0.58
481,14112,Fuente Palmera,Córdoba,Andalucia,6175867.0796147175,7390.0,0.52,0.48,0.14,0.71,0.15,0.23,0.55,0.08,0.14,119.04,19983.0,0.96,0.04,4730.0,0.64
482,23270,Sorihuela del Guadalimar,Jaén,Andalucia,27777992.63803564,7590.0,0.51,0.49,0.14,0.64,0.22,0.22,0.57,0.07,0.14,9.31,17403.22,0.96,0.04,5440.0,0.58
483,23393,Villarrodrigo,Jaén,Andalucia,78444145.40126695,3100.0,0.52,0.48,0.12,0.62,0.27,0.23,0.6,0.05,0.12,9.55,16502.5,0.94,0.06,2290.0,0.57
484,23170,La Guardia de Jaén,Jaén,Andalucia,38400902.86156516,6360.0,0.51,0.49,0.22,0.65,0.13,0.1,0.55,0.13,0.22,3656.9,27862.83,0.99,0.01,3455.0,0.66
485,23780,Lopera,Jaén,Andalucia,67864883.63904235,9615.0,0.49,0.51,0.15,0.64,0.21,0.23,0.55,0.08,0.15,1447.67,20097.4,0.98,0.02,5295.0,0.68
486,23265,Montizón,Jaén,Andalucia,115441108.5576932,3630.0,0.53,0.47,0.14,0.63,0.23,0.19,0.59,0.08,0.14,431.06,16534.4,1.0,0.0,2300.0,0.64
487,23486,Hinojares,Jaén,Andalucia,40001253.19915128,9625.0,0.52,0.48,0.14,0.62,0.24,0.29,0.52,0.06,0.14,11.92,17329.56,0.96,0.04,5280.0,0.72
488,23410,Sabiote,Jaén,Andalucia,112105126.39137933,9195.0,0.51,0.49,0.15,0.65,0.2,0.21,0.57,0.07,0.15,1420.11,18121.38,0.96,0.04,6065.0,0.58
489,23313,Úbeda,Jaén,Andalucia,36753923.40576942,4225.0,0.5,0.5,0.2,0.64,0.17,0.19,0.57,0.05,0.2,9.83,18725.0,0.99,0.01,2960.0,0.54
490,23110,Pegalajar,Jaén,Andalucia,56149635.77887263,3725.0,0.48,0.52,0.15,0.64,0.22,0.18,0.58,0.08,0.15,2218.78,18220.0,0.96,0.04,2315.0,0.64
491,23469,Úbeda,Jaén,Andalucia,94495319.31653838,8410.0,0.49,0.51,0.17,0.59,0.24,0.26,0.53,0.04,0.17,6.23,17805.8,1.0,0.01,6800.0,0.52
492,23710,Bailén,Jaén,Andalucia,117055976.9377354,25590.0,0.5,0.5,0.18,0.67,0.15,0.15,0.6,0.07,0.18,7529.91,20422.67,0.99,0.01,11895.0,0.76
493,23528,Lupión,Jaén,Andalucia,13682619.641800325,5575.0,0.49,0.51,0.15,0.62,0.23,0.2,0.57,0.08,0.15,28.02,18727.6,0.97,0.03,3285.0,0.65
494,23391,Torres de Albánchez,Jaén,Andalucia,57862027.60227266,4980.0,0.52,0.48,0.11,0.61,0.28,0.26,0.57,0.05,0.11,9.34,16528.0,0.95,0.05,3790.0,0.58
495,23686,Alcalá la Real,Jaén,Andalucia,32903283.40785931,15375.0,0.51,0.49,0.14,0.62,0.24,0.27,0.54,0.06,0.14,32.6,18529.4,0.97,0.03,8630.0,0.71
496,23770,Marmolejo,Jaén,Andalucia,177966235.31331503,12690.0,0.5,0.5,0.16,0.64,0.2,0.21,0.56,0.08,0.15,2691.36,20136.18,0.97,0.03,6550.0,0.66
497,23700,Linares,Jaén,Andalucia,105506217.73488964,66665.0,0.49,0.51,0.16,0.66,0.18,0.13,0.59,0.12,0.16,10947.6,23840.43,0.98,0.02,32050.0,0.77
498,23470,Cazorla,Jaén,Andalucia,209737484.12186182,19235.0,0.51,0.5,0.15,0.61,0.24,0.28,0.5,0.07,0.15,2808.76,17916.63,0.98,0.02,12150.0,0.64
499,14010,Córdoba,Córdoba,Andalucia,27835143.54533464,46390.0,0.49,0.51,0.16,0.64,0.19,0.14,0.59,0.11,0.16,23473.43,22318.87,0.98,0.02,21125.0,0.84
500,23485,Peal de Becerro,Jaén,Andalucia,44462369.5335696,19525.0,0.51,0.49,0.12,0.59,0.29,0.32,0.51,0.05,0.12,1333.86,16751.72,0.96,0.04,12420.0,0.69
501,23685,Alcaudete,Jaén,Andalucia,22199728.04194809,9175.0,0.52,0.49,0.11,0.6,0.3,0.33,0.51,0.04,0.12,24.14,17162.33,0.94,0.06,5860.0,0.64
502,23468,Peal de Becerro,Jaén,Andalucia,77536746.68377714,2710.0,0.47,0.54,0.15,0.56,0.29,0.32,0.5,0.04,0.15,3.65,16724.5,1.0,0.01,2675.0,0.48
503,23390,Benatae,Jaén,Andalucia,5141285.297189939,5765.0,0.53,0.48,0.11,0.66,0.24,0.26,0.57,0.06,0.11,8.06,17019.25,0.97,0.03,4570.0,0.55
504,23692,Alcalá la Real,Jaén,Andalucia,22367152.087202337,8810.0,0.51,0.49,0.15,0.64,0.22,0.24,0.48,0.13,0.15,1973.47,23317.83,0.99,0.01,4645.0,0.73
505,23689,Alcalá la Real,Jaén,Andalucia,46759741.53105027,9590.0,0.52,0.48,0.13,0.64,0.23,0.29,0.53,0.06,0.13,34.18,17675.33,0.96,0.04,4960.0,0.76
506,23200,La Carolina,Jaén,Andalucia,168704271.36276725,19270.0,0.5,0.5,0.16,0.67,0.17,0.16,0.6,0.07,0.16,5076.78,20717.57,0.98,0.02,9910.0,0.71
507,23311,Santo Tomé,Jaén,Andalucia,51253977.00507741,7475.0,0.5,0.5,0.17,0.6,0.23,0.26,0.53,0.04,0.17,818.05,16781.12,0.98,0.02,5565.0,0.53
