,Postal_Code,Municipality,Province,CCAA,Shape_area,Total_Population,Number_Males,Number_Females,Number_Minors,Number_Adults,Number_Elderlies,No_studies,Middle_studies,Complete_studies,Minors_NoInformation,Population_Density,Average_Income,Spanish_Nationality_People,Foreign_Nationality_People,Number_Properties,Number_Homes
214,29792,Vélez-Málaga,Málaga,Andalucia,7287046.366849115,12500.0,0.51,0.49,0.15,0.69,0.16,0.19,0.57,0.08,0.15,212.31,19779.12,0.9,0.1,7550.0,0.7
215,29006,Málaga,Málaga,Andalucia,8348737.006435911,85725.0,0.47,0.53,0.15,0.67,0.18,0.12,0.59,0.13,0.15,30346.45,24468.75,0.93,0.07,38785.0,0.84
216,29790,Vélez-Málaga,Málaga,Andalucia,18201107.130762275,13850.0,0.51,0.49,0.19,0.69,0.12,0.09,0.53,0.19,0.19,595.97,26076.57,0.9,0.1,8910.0,0.63
217,23159,Valdepeñas de Jaén,Jaén,Andalucia,24701274.137933884,3705.0,0.51,0.49,0.12,0.59,0.29,0.26,0.5,0.11,0.14,11.1,20379.0,1.0,0.0,2895.0,0.51
218,29712,Viñuela,Málaga,Andalucia,12291745.4930892,9910.0,0.51,0.49,0.11,0.63,0.27,0.22,0.6,0.07,0.11,50.7,15753.5,0.76,0.24,6525.0,0.66
219,29612,Ojén,Málaga,Andalucia,48545.94521803757,3125.0,0.51,0.49,0.16,0.68,0.16,0.11,0.6,0.12,0.16,59.9,19992.0,0.81,0.19,1560.0,0.87
220,29001,Málaga,Málaga,Andalucia,535838.897848843,10850.0,0.47,0.53,0.1,0.64,0.27,0.05,0.46,0.4,0.1,13056.17,33562.33,0.89,0.11,6730.0,0.8
221,29004,Málaga,Málaga,Andalucia,25602860.82790181,72720.0,0.49,0.51,0.16,0.69,0.15,0.1,0.62,0.12,0.16,34984.43,25828.07,0.94,0.06,32555.0,0.85
222,29010,Málaga,Málaga,Andalucia,14008034.965490244,120180.0,0.49,0.52,0.19,0.67,0.14,0.09,0.58,0.15,0.19,25810.7,24940.68,0.91,0.09,52315.0,0.86
223,29011,Málaga,Málaga,Andalucia,2152948.0192388003,63575.0,0.49,0.52,0.17,0.67,0.16,0.12,0.61,0.1,0.17,35030.53,20854.98,0.9,0.1,26325.0,0.88
224,29012,Málaga,Málaga,Andalucia,674472.7986431693,28565.0,0.48,0.52,0.15,0.68,0.18,0.06,0.54,0.25,0.15,23315.1,26017.05,0.9,0.1,16230.0,0.73
225,29013,Málaga,Málaga,Andalucia,2273421.584284441,50135.0,0.47,0.52,0.15,0.67,0.17,0.07,0.57,0.2,0.15,24140.8,25939.16,0.93,0.07,24520.0,0.81
226,23004,Jaén,Jaén,Andalucia,9177223.005750254,23345.0,0.5,0.5,0.16,0.67,0.17,0.14,0.55,0.15,0.16,20804.41,24133.6,0.99,0.01,11635.0,0.75
227,29590,Málaga,Málaga,Andalucia,32444887.58631616,16695.0,0.5,0.5,0.18,0.69,0.13,0.19,0.56,0.08,0.18,1295.29,22951.33,0.98,0.02,7145.0,0.83
228,29014,Málaga,Málaga,Andalucia,45498301.75816827,73195.0,0.48,0.52,0.17,0.67,0.16,0.12,0.6,0.12,0.17,20723.79,22125.39,0.94,0.06,32055.0,0.87
229,29016,Málaga,Málaga,Andalucia,4113426.262084962,30595.0,0.47,0.53,0.16,0.65,0.18,0.02,0.37,0.44,0.16,8365.37,47875.35,0.92,0.08,13615.0,0.84
