,Name,Province,Municipality,Date,SH2,SO2,NO2,CO,PART,O3,geometry
23,CENTRO,SEVILLA,SEVILLA,2015-09-01,,2.041935483870968,19.596774193548388,307.5258064516129,,59.74827586206896,POINT (-5.991463212346508 37.38807831537342)
24,CIUDAD DEPORTIVA,GRANADA,ARMILLA,2015-09-01,,7.483870967741935,15.264516129032257,146.6451612903226,24.854838709677416,68.82903225806452,POINT (-3.619137405016542 37.13560425564472)
25,COBRE LAS CRUCES,SEVILLA,GUILLENA,2015-09-01,,1.3451612903225807,6.764516129032256,,21.780645161290323,59.20000000000002,POINT (-6.036145321538837 37.55479486330152)
26,CORTIJILLOS,CADIZ,BARRIOS (LOS),2015-09-01,4.170967741935484,10.812903225806451,10.364516129032259,319.38709677419354,,63.08387096774193,POINT (-5.435757767267622 36.19046080583075)
27,DOS HERMANAS,SEVILLA,DOS HERMANAS,2015-09-01,,5.7870967741935475,15.158064516129032,565.5483870967743,,64.07096774193548,POINT (-5.913843838237383 37.2845132304213)
28,E1: COLEGIO LOS BARRIOS,CADIZ,BARRIOS (LOS),2015-09-01,,9.25806451612903,15.125806451612902,,21.53870967741935,,POINT (-5.488878340182611 36.18563707858645)
29,E2:ALCORNOCALES,CADIZ,BARRIOS (LOS),2015-09-01,,3.9903225806451608,12.383333333333333,,17.479999999999997,75.88387096774194,POINT (-5.663672396284856 36.23373664042163)
30,E3: COLEGIO CARTEYA,CADIZ,SAN ROQUE,2015-09-01,,4.25483870967742,12.112903225806448,,24.10645161290322,74.96129032258064,POINT (-5.391428513125806 36.20879765231249)
31,E4:RINCONCILLO,CADIZ,ALGECIRAS,2015-09-01,,2.581481481481481,25.154838709677417,,32.696666666666665,,POINT (-5.442583247955641 36.16175626687351)
32,E5: PALMONES,CADIZ,BARRIOS (LOS),2015-09-01,,4.451612903225807,25.674193548387095,,24.22258064516129,,POINT (-5.432761245531878 36.17468770448831)
